PEKERJAAN,STATUS_PERNIKAHAN,PRODUK,SUB_PRODUK,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS
19,0,0,0,220000000.0,120,2,0,0,1,1,2,2
9,1,0,0,140000000.0,48,1,0,0,0,0,0,1
37,1,0,0,200000000.0,48,2,0,0,1,1,2,2
12,0,0,0,32000000.0,60,2,0,0,1,1,2,2
26,2,0,0,505800000.0,191,0,0,0,0,0,3,4
11,2,0,0,179300000.0,60,1,0,0,0,0,0,1
11,2,0,0,100000000.0,48,1,0,0,0,0,0,1
99,2,0,0,73000000.0,168,0,0,0,0,0,3,4
37,2,0,0,378500000.0,193,1,0,0,0,0,0,1
37,2,0,0,1211000000.0,216,1,0,0,0,0,0,1
37,2,0,0,200000000.0,180,0,0,0,0,0,3,4
19,2,0,0,200000000.0,96,1,0,0,0,0,0,1
37,2,0,0,672000000.0,183,1,0,0,0,0,0,1
37,2,0,0,201800000.0,240,0,0,0,0,0,3,4
9,2,0,0,148000000.0,60,2,0,0,1,1,2,2
37,2,0,0,176500000.0,60,2,0,0,1,1,2,2
9,2,0,0,95900000.0,60,1,0,0,0,0,0,1
99,2,0,0,421900000.0,78,2,0,0,1,1,2,2
37,2,0,0,158000000.0,51,2,0,0,1,1,2,2
5,2,0,0,288000000.0,81,0,0,0,0,0,3,4
99,2,0,0,17000000.0,11,1,0,0,0,0,0,1
31,2,0,0,140600000.0,120,1,0,0,0,0,0,1
26,2,0,0,431652354.0,116,0,0,0,0,0,3,4
37,2,0,0,79000000.0,60,1,0,0,0,0,0,1
31,0,0,0,182000000.0,180,1,0,0,0,0,0,1
19,2,0,0,143000000.0,180,0,0,0,0,0,3,4
37,2,0,0,397000000.0,228,1,0,0,0,0,0,1
37,2,0,0,342000000.0,120,1,0,0,0,0,0,1
37,2,0,0,618000000.0,84,0,0,0,0,0,3,4
19,1,0,0,350000000.0,120,2,0,0,1,1,2,2
19,2,0,0,30000000.0,36,2,0,0,1,1,2,2
9,1,0,0,20000000.0,24,1,0,0,0,0,0,1
99,2,0,0,37000000.0,11,2,0,0,1,1,2,2
99,2,0,0,15000000.0,6,2,0,0,1,1,2,2
9,2,0,0,62400000.0,60,0,0,0,0,0,3,4
37,2,0,0,312000000.0,149,1,0,0,0,0,0,1
5,0,0,0,700000000.0,180,1,0,0,0,0,0,1
9,1,0,0,75000000.0,24,0,0,0,0,0,3,4
37,2,0,0,160000000.0,60,1,0,0,0,0,0,1
1,2,0,0,250000000.0,60,1,0,0,0,0,0,1
13,2,0,0,20000000.0,10,0,0,0,0,0,3,4
37,1,0,0,100000000.0,84,1,0,0,0,0,0,1
9,2,0,0,396000000.0,108,1,0,0,0,0,0,1
37,2,0,0,250000000.0,60,0,0,0,0,0,3,4
9,2,0,0,17000000.0,60,2,0,0,1,1,2,2
9,2,0,0,200000000.0,72,2,0,0,1,1,2,2
99,2,0,0,200000000.0,120,1,0,0,0,0,0,1
9,2,0,0,62600000.0,60,2,0,0,1,1,2,2
99,2,0,0,53000000.0,60,2,0,0,1,1,2,2
37,2,0,0,281962785.0,67,0,0,0,0,0,3,4
37,2,0,0,200000000.0,60,1,0,0,0,0,0,1
37,2,0,1,150000000.0,72,1,0,0,0,0,0,1
9,2,0,0,220000000.0,120,0,0,0,0,0,3,4
37,2,0,0,178000000.0,120,1,0,0,0,0,0,1
99,2,0,1,1000000000.0,60,1,0,0,0,0,0,1
37,2,0,0,700000000.0,168,0,0,0,0,0,3,4
11,2,0,0,100000000.0,60,1,0,0,0,0,0,1
37,2,0,0,261000000.0,76,1,0,0,0,0,0,1
99,2,0,0,448000000.0,120,0,0,0,0,0,3,4
4,0,0,0,100000000.0,84,2,0,0,1,1,2,2
9,1,0,0,145000000.0,50,2,0,0,1,1,2,2
99,0,0,0,18150000.0,10,1,0,0,0,0,0,1
37,0,0,0,862300000.0,195,2,0,0,1,1,2,2
31,2,0,0,246350000.0,180,2,0,0,1,1,2,2
19,2,0,0,457300000.0,168,0,0,0,0,0,3,4
34,2,1,3,150000000.0,36,1,3,0,0,0,0,1
9,2,0,0,381500000.0,216,1,0,0,0,0,0,1
37,2,0,0,737000000.0,120,0,0,0,0,0,3,4
99,2,0,0,10000000.0,36,1,0,0,0,0,0,1
37,2,0,0,157000000.0,100,1,0,0,0,0,0,1
19,2,0,0,300000000.0,116,0,0,0,0,0,3,4
5,2,0,0,10000000.0,23,1,0,0,0,0,0,1
9,2,0,0,104500000.0,60,1,0,0,0,0,0,1
99,0,0,0,24500000.0,10,0,0,0,0,0,3,4
9,2,0,0,274000000.0,180,2,0,0,1,1,2,2
5,2,0,0,21400000.0,180,2,0,0,1,1,2,2
37,2,0,0,108000000.0,24,1,0,0,0,0,0,1
99,2,0,0,27000000.0,11,2,0,0,1,1,2,2
13,0,0,0,16500000.0,10,2,0,0,1,1,2,2
9,2,0,0,260500000.0,180,0,0,0,0,0,3,4
99,2,0,0,155300000.0,60,1,0,0,0,0,0,1
5,2,0,0,174000000.0,53,1,0,0,0,0,0,1
9,1,0,0,96000000.0,60,0,0,0,0,0,3,4
37,2,0,0,11000000.0,36,1,0,0,0,0,0,1
9,2,0,0,170000000.0,96,1,0,0,0,0,0,1
99,2,0,0,80000000.0,48,0,0,0,0,0,3,4
8,2,0,1,150000000.0,156,1,0,0,0,0,0,1
99,0,0,0,24300000.0,10,1,0,0,0,0,0,1
37,2,0,0,230000000.0,60,0,0,0,0,0,3,4
9,2,0,0,105000000.0,180,2,0,0,1,1,2,2
37,2,0,0,200000000.0,84,2,0,0,1,1,2,2
9,2,0,0,170000000.0,36,1,0,0,0,0,0,1
13,2,1,3,25000000.0,24,2,0,0,1,2,2,2
5,0,0,1,335723741.0,216,2,0,0,1,1,2,2
9,0,0,0,52000000.0,60,0,0,0,0,0,3,4
19,1,0,0,545700000.0,86,1,0,0,0,0,0,1
9,1,0,0,735000000.0,144,1,0,0,0,0,0,1
31,1,0,0,260900000.0,168,0,0,0,0,0,3,4
9,2,0,0,100000000.0,47,1,0,0,0,0,0,1
99,0,0,0,15800000.0,10,1,0,0,0,0,0,1
9,2,0,0,10000000.0,17,0,0,0,0,0,3,4
9,0,0,0,27000000.0,48,1,0,0,0,0,0,1
9,2,0,0,61000000.0,60,1,0,0,0,0,0,1
37,2,0,0,123000000.0,60,0,0,0,0,0,3,4
9,2,0,0,197600000.0,120,2,0,0,1,1,2,2
11,2,0,0,232600000.0,108,2,0,0,1,1,2,2
37,2,0,0,248000000.0,109,1,0,0,0,0,0,1
19,2,0,0,210000000.0,84,2,0,0,1,1,2,2
19,2,0,0,250000000.0,96,2,0,0,1,1,2,2
9,2,0,0,265000000.0,60,0,0,0,0,0,3,4
37,2,0,0,429900000.0,180,1,0,0,0,0,0,1
26,2,0,0,137100000.0,60,1,0,0,0,0,0,1
4,2,0,0,450000000.0,180,0,0,0,0,0,3,4
5,2,0,0,158000000.0,60,1,0,0,0,0,0,1
37,2,0,0,313000000.0,126,1,0,0,0,0,0,1
37,2,0,0,360388000.0,210,0,0,0,0,0,3,4
37,2,0,0,420000000.0,108,1,0,0,0,0,0,1
37,2,0,0,40000000.0,27,1,0,0,0,0,0,1
37,2,0,0,216000000.0,120,0,0,0,0,0,3,4
37,2,0,0,156200000.0,84,2,0,0,1,1,2,2
37,2,0,0,138000000.0,60,2,0,0,1,1,2,2
9,2,0,0,460000000.0,192,1,0,0,0,0,0,1
9,2,0,0,59000000.0,60,2,0,0,1,1,2,2
19,2,0,0,444400000.0,180,2,0,0,1,1,2,2
37,2,0,0,250000000.0,180,0,0,0,0,0,3,4
9,2,0,0,60000000.0,60,1,0,0,0,0,0,1
4,0,0,0,220000000.0,120,1,0,0,0,0,0,1
37,2,0,0,294000000.0,192,0,0,0,0,0,3,4
99,2,0,0,95900000.0,60,1,0,0,0,0,0,1
9,2,0,0,231000000.0,180,1,0,0,0,0,0,1
37,2,0,1,436181948.0,240,0,0,0,0,0,3,4
19,0,0,0,875500000.0,180,1,0,0,0,0,0,1
99,0,1,3,18696000.0,24,1,3,0,0,0,0,1
9,2,0,0,100000000.0,36,0,0,0,0,0,3,4
37,2,0,0,325000000.0,194,2,0,0,1,1,2,2
37,2,0,0,227800000.0,180,2,0,0,1,1,2,2
37,2,0,0,74000000.0,176,1,0,0,0,0,0,1
13,2,1,3,10000000.0,24,2,0,0,1,2,2,2
9,2,0,0,44000000.0,60,2,0,0,1,1,2,2
13,2,0,1,160340000.0,180,0,0,0,0,0,3,4
4,2,0,0,280000000.0,180,1,0,0,0,0,0,1
5,2,0,0,13500000.0,36,1,0,0,0,0,0,1
34,2,1,2,250000000.0,24,0,2,0,0,2,2,5
11,2,0,0,140000000.0,60,1,0,0,0,0,0,1
13,2,1,2,250000000.0,60,1,3,0,0,0,0,1
7,2,0,0,215326700.0,141,0,0,0,0,0,3,5
99,2,0,0,435000000.0,168,1,0,0,0,0,0,1
9,2,0,0,309000000.0,60,1,0,0,0,0,0,1
26,2,0,0,15000000.0,10,0,0,0,0,0,3,5
99,2,0,0,50000000.0,168,2,0,0,1,1,2,2
37,2,0,0,100000000.0,180,2,0,0,1,1,2,2
9,2,0,0,431000000.0,156,1,0,0,0,0,0,1
7,0,0,1,179150000.0,180,2,0,0,1,1,2,2
37,2,0,0,252000000.0,67,2,0,0,1,1,2,2
37,2,0,1,300000000.0,180,0,0,0,0,0,3,5
99,0,0,1,288000000.0,168,1,0,0,0,0,0,1
37,2,0,0,430000000.0,96,1,0,0,0,0,0,1
26,2,0,0,270000000.0,96,0,0,0,0,0,3,5
9,2,0,0,65000000.0,60,1,0,0,0,0,0,1
37,2,0,0,97000000.0,60,1,0,0,0,0,0,1
13,2,1,2,100000000.0,48,0,2,0,0,2,2,5
5,2,0,0,10000000.0,10,1,0,0,0,0,0,1
1,2,0,0,682000000.0,180,1,0,0,0,0,0,1
9,0,0,0,156700000.0,60,0,0,0,0,0,3,5
4,2,0,0,150000000.0,115,2,0,0,1,1,2,2
9,2,0,0,55000000.0,30,2,0,0,1,1,2,2
19,0,0,0,133500000.0,60,1,0,0,0,0,0,1
37,1,0,0,287700000.0,119,2,0,0,0,1,3,2
11,2,0,0,260000000.0,120,2,0,0,0,1,3,2
9,2,0,0,250000000.0,60,0,0,0,0,0,3,5
37,2,0,0,160000000.0,121,1,0,0,0,0,0,1
37,2,0,0,20000000.0,24,1,0,0,0,0,0,1
12,0,0,0,20000000.0,11,0,0,0,0,0,3,5
34,1,0,0,33000000.0,24,1,0,0,0,0,0,1
37,2,0,0,300000000.0,132,1,0,0,0,0,0,1
37,2,0,0,33000000.0,24,0,0,0,0,0,3,5
21,2,0,0,215000000.0,144,1,0,0,0,0,0,1
5,0,0,0,149000000.0,60,1,0,0,0,0,0,1
37,2,0,0,338000000.0,202,0,0,0,0,0,3,5
9,2,0,0,44000000.0,36,2,0,0,0,1,3,2
31,0,0,0,179200000.0,180,2,0,0,0,1,3,2
37,0,0,0,200000000.0,168,1,0,0,0,0,0,1
9,2,0,0,140000000.0,60,2,0,0,0,1,3,2
9,2,0,0,173500000.0,120,2,0,0,0,1,3,2
21,2,0,0,425000000.0,156,0,0,0,0,0,3,5
11,2,0,0,153500000.0,73,1,0,0,0,0,0,1
9,2,0,0,165000000.0,60,1,0,0,0,0,0,1
99,2,0,1,162320000.0,144,0,0,0,0,0,3,5
11,1,0,0,159500000.0,111,1,0,0,0,0,0,1
99,0,0,0,96500000.0,60,1,0,0,0,0,0,1
37,1,0,0,5000000.0,60,0,0,0,0,0,3,5
9,2,0,0,210000000.0,84,1,0,0,0,0,0,1
99,2,0,0,296000000.0,168,1,0,0,0,0,0,1
7,2,0,0,45000000.0,60,0,0,0,0,0,3,5
5,2,0,0,151000000.0,60,2,0,0,0,1,3,2
99,2,0,0,265800000.0,180,2,0,0,0,1,3,2
99,2,0,0,28000000.0,36,1,0,0,0,0,0,1
31,2,0,0,247600000.0,124,2,0,0,0,1,3,2
5,2,0,0,352000000.0,180,2,0,0,0,1,3,2
19,2,0,0,150000000.0,48,0,0,0,0,0,3,5
99,1,1,2,25000000.0,18,1,3,0,0,0,0,1
99,2,0,1,406842503.5,168,1,0,0,0,0,0,1
8,2,0,0,50000000.0,48,0,0,0,0,0,3,5
37,2,0,0,78000000.0,36,1,0,0,0,0,0,1
5,2,0,1,356632987.0,135,1,0,0,0,0,0,1
11,2,0,0,100000000.0,48,0,0,0,0,0,3,5
9,2,0,1,322207777.0,111,1,0,0,0,0,0,1
9,0,0,0,80000000.0,60,1,0,0,0,0,0,1
9,2,0,0,300000000.0,120,0,0,0,0,0,3,5
37,2,0,0,220000000.0,84,2,0,0,0,1,3,2
31,2,0,0,180500000.0,180,2,0,0,0,1,3,2
13,0,1,2,100000000.0,24,1,3,0,0,0,0,1
99,2,0,0,375000000.0,168,2,0,0,0,1,3,2
37,1,0,0,150000000.0,120,2,0,0,0,1,3,2
9,2,0,0,20000000.0,36,0,0,0,0,0,3,5
37,2,0,0,133000000.0,240,1,0,0,0,0,0,1
99,2,0,1,124900000.0,132,1,0,0,0,0,0,1
9,2,0,0,100000000.0,60,0,0,0,0,0,3,5
